Question Number,Document Index,Option A Model,Option B Model,Option C Model,Option D Model,Document Text
1,299,Hierarchical,NLI,Fact,Original,This research assessed the impact of volatile fatty acids recovery and biomethane potential in an in...
2,875,NLI,Fact,Hierarchical,Original,State of charge of an electric vehicle battery pack is a crucial information for the driver . The ac...
3,57,Hierarchical,Original,NLI,Fact,Castration may decrease off odors and improve meat flavor . Meat flavor is generated through complex...
4,422,Fact,Hierarchical,Original,NLI,Emerging nano donor and nano receptor FRET pairs are more advantageous to broad biosensing applicati...
5,721,Hierarchical,Fact,Original,NLI,Recent years the multi objective evolutionary algorithm based on decomposition has been researched a...
6,754,NLI,Fact,Original,Hierarchical,Consumers performing the role of value creators in experience co creation introduces idiosyncrasies ...
7,56,Fact,Hierarchical,Original,NLI,The demand for the development of fast easy to use and low cost analytical methods for food adultera...
8,401,Fact,NLI,Hierarchical,Original,Financial leasing has become a common solution to financing problems encountered by firms . The main...
9,444,Hierarchical,Original,NLI,Fact,Owing to the less energy consumption positive impact on the environment and prospect of providing cl...
10,1004,Fact,NLI,Hierarchical,Original,LCMS MS allows for many measurands monitoring different mass transitions simultaneously . So far suc...
11,657,Fact,Hierarchical,NLI,Original,The knowledge of cancer burden in the population its time trends and the possibility of internationa...
12,685,Original,Hierarchical,Fact,NLI,Fast exhaustion of petroleum reserves and environmental pollution due to the ever growing consumptio...
13,997,NLI,Fact,Original,Hierarchical,In this research our main concern is to address that fluorosis as a global health issue and to provi...
14,523,Fact,Original,NLI,Hierarchical,Global climate change has in recent years increased the frequency and intensity of meteorological di...
15,993,Hierarchical,NLI,Fact,Original,In the present research pH sensitive interpenetrating polymeric network are prepared by interpenetra...
16,816,Original,Hierarchical,Fact,NLI,To describe the process and results of the implementation of a performance based risk sharing arrang...
17,219,Original,NLI,Fact,Hierarchical,In Baltimore the emergence of fentanyl and its analogues exacerbated an existing heroin crisis and i...
18,349,Hierarchical,NLI,Original,Fact,It is difficult for polymeric materials to avoid the conflict between the mechanical properties and ...
19,686,Hierarchical,Fact,Original,NLI,Oleogels developed for foods are typically composed of a vegetable oil and a food grade oleogelator ...
20,965,Hierarchical,Fact,NLI,Original,The advent of nanotechnology has revolutionized the way clinicians are treating cancers . Treatment ...