User,Question,Model,Rating
Soumyadipto Pal,1,Hierarchical,5
Soumyadipto Pal,1,NLI,4
Soumyadipto Pal,1,Fact,4
Soumyadipto Pal,1,Original,4
Nikhil Gupta,1,Hierarchical,5
Nikhil Gupta,1,NLI,4
Nikhil Gupta,1,Fact,5
Nikhil Gupta,1,Original,5
Azimuddin Sheikh,1,Hierarchical,5
Azimuddin Sheikh,1,NLI,5
Azimuddin Sheikh,1,Fact,4
Azimuddin Sheikh,1,Original,4
Soumyadipto Pal,2,Original,4
Soumyadipto Pal,2,Fact,4
Soumyadipto Pal,2,Hierarchical,5
Soumyadipto Pal,2,NLI,3
Nikhil Gupta,2,Original,4
Nikhil Gupta,2,Fact,5
Nikhil Gupta,2,Hierarchical,5
Nikhil Gupta,2,NLI,3
Azimuddin Sheikh,2,Original,4
Azimuddin Sheikh,2,Fact,4
Azimuddin Sheikh,2,Hierarchical,5
Azimuddin Sheikh,2,NLI,5
Soumyadipto Pal,3,Fact,3
Soumyadipto Pal,3,Hierarchical,4
Soumyadipto Pal,3,NLI,4
Soumyadipto Pal,3,Original,5
Nikhil Gupta,3,Fact,5
Nikhil Gupta,3,Hierarchical,5
Nikhil Gupta,3,NLI,4
Nikhil Gupta,3,Original,5
Azimuddin Sheikh,3,Fact,4
Azimuddin Sheikh,3,Hierarchical,5
Azimuddin Sheikh,3,NLI,5
Azimuddin Sheikh,3,Original,5
Soumyadipto Pal,4,NLI,4
Soumyadipto Pal,4,Original,4
Soumyadipto Pal,4,Fact,4
Soumyadipto Pal,4,Hierarchical,5
Nikhil Gupta,4,NLI,5
Nikhil Gupta,4,Original,5
Nikhil Gupta,4,Fact,5
Nikhil Gupta,4,Hierarchical,4
Azimuddin Sheikh,4,NLI,5
Azimuddin Sheikh,4,Original,4
Azimuddin Sheikh,4,Fact,4
Azimuddin Sheikh,4,Hierarchical,5
Soumyadipto Pal,5,Fact,5
Soumyadipto Pal,5,Hierarchical,5
Soumyadipto Pal,5,NLI,4
Soumyadipto Pal,5,Original,4
Nikhil Gupta,5,Fact,5
Nikhil Gupta,5,Hierarchical,5
Nikhil Gupta,5,NLI,4
Nikhil Gupta,5,Original,4
Azimuddin Sheikh,5,Fact,4
Azimuddin Sheikh,5,Hierarchical,5
Azimuddin Sheikh,5,NLI,5
Azimuddin Sheikh,5,Original,5
Soumyadipto Pal,6,Hierarchical,5
Soumyadipto Pal,6,Original,5
Soumyadipto Pal,6,Fact,4
Soumyadipto Pal,6,NLI,5
Nikhil Gupta,6,Hierarchical,5
Nikhil Gupta,6,Original,5
Nikhil Gupta,6,Fact,4
Nikhil Gupta,6,NLI,4
Azimuddin Sheikh,6,Hierarchical,5
Azimuddin Sheikh,6,Original,5
Azimuddin Sheikh,6,Fact,4
Azimuddin Sheikh,6,NLI,5
Soumyadipto Pal,7,NLI,5
Soumyadipto Pal,7,Hierarchical,5
Soumyadipto Pal,7,Fact,4
Soumyadipto Pal,7,Original,4
Nikhil Gupta,7,NLI,5
Nikhil Gupta,7,Hierarchical,5
Nikhil Gupta,7,Fact,4
Nikhil Gupta,7,Original,5
Azimuddin Sheikh,7,NLI,5
Azimuddin Sheikh,7,Hierarchical,5
Azimuddin Sheikh,7,Fact,5
Azimuddin Sheikh,7,Original,4
Soumyadipto Pal,8,NLI,5
Soumyadipto Pal,8,Hierarchical,5
Soumyadipto Pal,8,Fact,4
Soumyadipto Pal,8,Original,4
Nikhil Gupta,8,NLI,5
Nikhil Gupta,8,Hierarchical,5
Nikhil Gupta,8,Fact,4
Nikhil Gupta,8,Original,4
Azimuddin Sheikh,8,NLI,4
Azimuddin Sheikh,8,Hierarchical,5
Azimuddin Sheikh,8,Fact,5
Azimuddin Sheikh,8,Original,5
Soumyadipto Pal,9,NLI,5
Soumyadipto Pal,9,Hierarchical,5
Soumyadipto Pal,9,Original,4
Soumyadipto Pal,9,Fact,5
Nikhil Gupta,9,NLI,5
Nikhil Gupta,9,Hierarchical,5
Nikhil Gupta,9,Original,4
Nikhil Gupta,9,Fact,4
Azimuddin Sheikh,9,NLI,5
Azimuddin Sheikh,9,Hierarchical,5
Azimuddin Sheikh,9,Original,5
Azimuddin Sheikh,9,Fact,4
Soumyadipto Pal,10,Fact,4
Soumyadipto Pal,10,Original,4
Soumyadipto Pal,10,Hierarchical,4
Soumyadipto Pal,10,NLI,5
Nikhil Gupta,10,Fact,5
Nikhil Gupta,10,Original,5
Nikhil Gupta,10,Hierarchical,4
Nikhil Gupta,10,NLI,4
Azimuddin Sheikh,10,Fact,5
Azimuddin Sheikh,10,Original,5
Azimuddin Sheikh,10,Hierarchical,4
Azimuddin Sheikh,10,NLI,4
Soumyadipto Pal,11,NLI,5
Soumyadipto Pal,11,Hierarchical,5
Soumyadipto Pal,11,Original,5
Soumyadipto Pal,11,Fact,4
Nikhil Gupta,11,NLI,5
Nikhil Gupta,11,Hierarchical,4
Nikhil Gupta,11,Original,4
Nikhil Gupta,11,Fact,5
Azimuddin Sheikh,11,NLI,5
Azimuddin Sheikh,11,Hierarchical,5
Azimuddin Sheikh,11,Original,5
Azimuddin Sheikh,11,Fact,5
Soumyadipto Pal,12,Fact,4
Soumyadipto Pal,12,NLI,4
Soumyadipto Pal,12,Original,5
Soumyadipto Pal,12,Hierarchical,5
Nikhil Gupta,12,Fact,4
Nikhil Gupta,12,NLI,5
Nikhil Gupta,12,Original,5
Nikhil Gupta,12,Hierarchical,5
Azimuddin Sheikh,12,Fact,5
Azimuddin Sheikh,12,NLI,5
Azimuddin Sheikh,12,Original,5
Azimuddin Sheikh,12,Hierarchical,5
Soumyadipto Pal,13,Fact,4
Soumyadipto Pal,13,NLI,5
Soumyadipto Pal,13,Hierarchical,4
Soumyadipto Pal,13,Original,5
Nikhil Gupta,13,Fact,4
Nikhil Gupta,13,NLI,5
Nikhil Gupta,13,Hierarchical,5
Nikhil Gupta,13,Original,4
Azimuddin Sheikh,13,Fact,4
Azimuddin Sheikh,13,NLI,4
Azimuddin Sheikh,13,Hierarchical,5
Azimuddin Sheikh,13,Original,5
Soumyadipto Pal,14,Hierarchical,5
Soumyadipto Pal,14,NLI,5
Soumyadipto Pal,14,Original,5
Soumyadipto Pal,14,Fact,5
Nikhil Gupta,14,Hierarchical,5
Nikhil Gupta,14,NLI,5
Nikhil Gupta,14,Original,4
Nikhil Gupta,14,Fact,4
Azimuddin Sheikh,14,Hierarchical,5
Azimuddin Sheikh,14,NLI,5
Azimuddin Sheikh,14,Original,4
Azimuddin Sheikh,14,Fact,5
Soumyadipto Pal,15,Original,5
Soumyadipto Pal,15,Hierarchical,5
Soumyadipto Pal,15,NLI,5
Soumyadipto Pal,15,Fact,4
Nikhil Gupta,15,Original,5
Nikhil Gupta,15,Hierarchical,4
Nikhil Gupta,15,NLI,5
Nikhil Gupta,15,Fact,4
Azimuddin Sheikh,15,Original,5
Azimuddin Sheikh,15,Hierarchical,5
Azimuddin Sheikh,15,NLI,4
Azimuddin Sheikh,15,Fact,4
Soumyadipto Pal,16,Fact,5
Soumyadipto Pal,16,NLI,4
Soumyadipto Pal,16,Original,4
Soumyadipto Pal,16,Hierarchical,5
Nikhil Gupta,16,Fact,4
Nikhil Gupta,16,NLI,5
Nikhil Gupta,16,Original,4
Nikhil Gupta,16,Hierarchical,5
Azimuddin Sheikh,16,Fact,4
Azimuddin Sheikh,16,NLI,5
Azimuddin Sheikh,16,Original,5
Azimuddin Sheikh,16,Hierarchical,4
Soumyadipto Pal,17,NLI,4
Soumyadipto Pal,17,Original,4
Soumyadipto Pal,17,Fact,4
Soumyadipto Pal,17,Hierarchical,4
Nikhil Gupta,17,NLI,5
Nikhil Gupta,17,Original,4
Nikhil Gupta,17,Fact,4
Nikhil Gupta,17,Hierarchical,5
Azimuddin Sheikh,17,NLI,5
Azimuddin Sheikh,17,Original,5
Azimuddin Sheikh,17,Fact,4
Azimuddin Sheikh,17,Hierarchical,4
Soumyadipto Pal,18,Fact,5
Soumyadipto Pal,18,Hierarchical,5
Soumyadipto Pal,18,Original,4
Soumyadipto Pal,18,NLI,3
Nikhil Gupta,18,Fact,4
Nikhil Gupta,18,Hierarchical,5
Nikhil Gupta,18,Original,4
Nikhil Gupta,18,NLI,5
Azimuddin Sheikh,18,Fact,4
Azimuddin Sheikh,18,Hierarchical,5
Azimuddin Sheikh,18,Original,5
Azimuddin Sheikh,18,NLI,5
Soumyadipto Pal,19,Hierarchical,5
Soumyadipto Pal,19,NLI,5
Soumyadipto Pal,19,Fact,4
Soumyadipto Pal,19,Original,4
Nikhil Gupta,19,Hierarchical,5
Nikhil Gupta,19,NLI,5
Nikhil Gupta,19,Fact,4
Nikhil Gupta,19,Original,4
Azimuddin Sheikh,19,Hierarchical,5
Azimuddin Sheikh,19,NLI,4
Azimuddin Sheikh,19,Fact,4
Azimuddin Sheikh,19,Original,5
Soumyadipto Pal,20,Original,5
Soumyadipto Pal,20,Fact,5
Soumyadipto Pal,20,NLI,5
Soumyadipto Pal,20,Hierarchical,5
Nikhil Gupta,20,Original,4
Nikhil Gupta,20,Fact,4
Nikhil Gupta,20,NLI,5
Nikhil Gupta,20,Hierarchical,4
Azimuddin Sheikh,20,Original,4
Azimuddin Sheikh,20,Fact,4
Azimuddin Sheikh,20,NLI,5
Azimuddin Sheikh,20,Hierarchical,5
